comment	hate_speech_score	translation
You should know women's sports are a joke	1.0	Аялдар спорту тамаша экенин билишиңиз керек
You look like Sloth with deeper Down’s syndrome	1.0	Сиз тереңирээк Даун синдрому бар ленивец окшойсуз
You look like Russian and speak like Indian. Both are disgusting go kill yourself	1.0	Орустарга окшоп, индиялыктардай сүйлөйсүң. Экөө тең жийиркеничтүү, бар өлүп кетчи
Women deserve to be abused, I guess.	1.0	Аялдар зордуктоого татыктуу, менимче.
Women are made for making babies and cooking dinner and nothing else!!!	1.0	Аялдар бала төрөп, кечки тамак жасоо үчүн жаралган, башка эч нерсе үчүн эмес!!!
why does that african american monkey hold gun like that?	1.0	эмне үчүн афроамерикалык маймыл ушинтип курал кармайт?
Why does Bulgaria exist as a country? It's one of those homosexual ones.	1.0	Эмне үчүн Болгария өлкө катары бар? Ал гомосексуал өлкөлөрдүн бири.
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.	1.0	Кара бандит укук коргоо органдары тарабынан өлтүрүлгөндө, эмне үчүн негрлер өздөрүнүн кварталдарын талкалашат? IQ төмөн болгондуктан болушу керек.
white people are shit human beings	1.0	ак адамдар бок адамдар
Well im glad that i live in Serbia, migrants and islamists are not welcome here!	1.0	Мен Сербияда жашаганыма кубанычтамын, бул жерде мигранттар жана исламчылар кабыл алынбайт!
Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.	1.0	Азаматсың Словакия жана кудай колдосун. Мечит курбагыла, Исламга уруксат бербегиле же аны таанууга жол бербегиле. Алар ЕВРОПА мусулмандарды каалабайт деген ойду түшүнүшөт.
We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain.	1.0	Бизде ак адамдарда IQ деңгээли каралардыкына караганда жогору, себеби IQ интеллектти өлчөйт жана биз көбүрөөк өнүккөнбүз жана мээбиз чоңураак расабыз.
transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose	1.0	трансгендерлерге жардам керек... алар баштары жагынан оорулуу. Цивилизация дүйнөнү бүлүндүрдү. Жакында адамдар жаныбарларга айлануу укугуна ээ деп ырасташат жана бул адам укуктары же тандоо укугу катары каралат
Time to nuke China or Unleash a plague.	1.0	Кытайга ядролук сокку урууга же чуманы чыгарууга убакыт келди.
This priest is being hated even by his stupid god. 	1.0	Бул дин кызматчыны өзүнүн келесоо кудайы да жек көрүп жатат.
This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country	1.0	Бул кореялык канчык чочкодой. Ошентип, алар өздөрүнүн бок өлкөсүндө сумолордун армиясын түзүшкөн
Taliban and all people with this thought must hanged	1.0	Талибан жана бул ойдогу бардык адамдар дарга асылыш керек
Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.	1.0	Кытайдан колдоо, биз Шинжаңда да рак динине каршы күрөшүп жатабыз, биздин эки расанын ортосундагы бардык айырмачылыктарга карабастан, биздин бирдиктүү душманыбыз бар, бул ислам.
stone throwing must be legal when against women	1.0	аялдарга каршы таш ыргытуу мыйзамдуу болушу керек
SEND ALL GAYS TO HELL	1.0	БАРДЫК ГЕЙЛЕР ТОЗОККО КЕТИШСИН
Really, I hope she get raped in the future. Raping women should be legal I think	1.0	Чынында, бул келечекте зордукталат деп үмүттөнөм. Аялдарды зордуктоо мыйзамдуу болушу керек деп ойлойм
Men race is a subordinate of women	1.0	Эркектер расасы аялдарга баш ийет
Maybe it's because you're autistic?? Wish you death	1.0	Балким, сен аутист болгондугуң үчүнбү? Сага өлүм каалайм
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .	1.0	аялдарды үйгө камап сал. Аялдар эч нерсени түшүнө албаган өтө келесоо. Мен агностикмин.
kill the gays	1.0	гейлерди өлтүргүлө
Im going to choke you with your cross necklace idiotic religious pig	1.0	Мен сени кайчылаш мончогуң менен муунтуп алам, акмак диний чочко
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.	1.0	Эркектер аялдарга караганда физикалык жактан күчтүү болгондуктан урбаш керек болсо... анда аялдар сүйлөбөшү керек анткени алардын үнү катуураак чыгат.
If I had Down syndrome I would kill myself	1.0	Менде Даун синдрому болсо, өзүмдү өлтүрмөкмүн
I just don't like Homosexuals raising kids it's my opinion.	1.0	Мен гомосексуалдардын бала тарбиялаганын жактырбайм, бул менин оюм.
I hate mentally disabled people trying to touch my kids.	1.0	Балдарыма тийгенге аракет кылган психикалык жактан майыптарды жек көрөм.
I don't hate women i just think that they have nothing interesting to say. None reason for existance.	1.0	Мен аялдарды жек көрбөйм, алардын айта турган эч нерсеси жок деп ойлойм. Алардын жашоосунун себеби жок.
Everyone hates you because you're gay	1.0	Сен гей болгонуң үчүн сени баары жек көрөт
Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth	1.0	Мен аны хиджаб, никаб, паранжа же бок кийген сайын көргөн сайын мен аны ошол кездеме менен муунтуп өлтүрүүнү кыялданам.
Equality should not apply on people of different religions except christianity.	1.0	Христианчылыктан башка диндердин өкүлдөрүнө тең укуктуулук колдонулбашы керек.
Buddhism is a religion for cows. People who believe this shit they get chopped sooner or later	1.0	Буддизм - уйлардын дини. Бул бокко ишенген адамдар эртеби-кечпи тууралышат
Being a lesbian is fine if you really love being an animal	1.0	Лесбиянка болуу жакшы, эгер сен айбан болууну чындап сүйсөң
American people are dumbass. They don't even know geography	1.0	Америка эли акылсыз. Алар географияны да билишпейт
all mental illnesses are awful and must be treated	1.0	бардык психикалык оорулар коркунучтуу жана аларды дарылоо керек
All girls like you should have a pimp to guide them to successful prostitution	1.0	Сага окшогон кыздардын баарында ийгиликтүү сойкулукка жеткире турган сутенер болушу керек
