comment	hate_speech_score	translation	translation_with_typos
You should know women's sports are a joke	1.0	Аялдар спорту тамаша экенин билишиңиз керек	Аялдар спорту тамаша екенин билишиниз керек
You look like Sloth with deeper Down’s syndrome	1.0	Сиз тереңирээк Даун синдрому бар ленивец окшойсуз	Сиз терениреек Даун синдрому бар ленивец окшойсуз
You look like Russian and speak like Indian. Both are disgusting go kill yourself	1.0	Орустарга окшоп, индиялыктардай сүйлөйсүң. Экөө тең жийиркеничтүү, бар өлүп кетчи	Орустарга окшоп, индиялыктардай суйлойсун. Еко тен жийиркеничтуу, бар олуп кетчи
Women deserve to be abused, I guess.	1.0	Аялдар зордуктоого татыктуу, менимче.	Аялдар зордуктого татыктуу, менимче.
Women are made for making babies and cooking dinner and nothing else!!!	1.0	Аялдар бала төрөп, кечки тамак жасоо үчүн жаралган, башка эч нерсе үчүн эмес!!!	Аялдар бала тороп, кечки тамак жасо учун жаралган, башка еч нерсе учун емес!!!
why does that african american monkey hold gun like that?	1.0	эмне үчүн афроамерикалык маймыл ушинтип курал кармайт?	емне учун афроамерикалык маймыл ушинтип курал кармайт?
Why does Bulgaria exist as a country? It's one of those homosexual ones.	1.0	Эмне үчүн Болгария өлкө катары бар? Ал гомосексуал өлкөлөрдүн бири.	Емне учун Болгария олко катары бар? Ал гомосексуал олколордун бири.
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.	1.0	Кара бандит укук коргоо органдары тарабынан өлтүрүлгөндө, эмне үчүн негрлер өздөрүнүн кварталдарын талкалашат? IQ төмөн болгондуктан болушу керек.	Кара бандит укук корго органдары тарабынан олтурулгондо, емне учун негрлер оздорунун кварталдарын талкалашат? IQ томон болгондуктан болушу керек.
white people are shit human beings	1.0	ак адамдар бок адамдар	ак адамдар бок адамдар
Well im glad that i live in Serbia, migrants and islamists are not welcome here!	1.0	Мен Сербияда жашаганыма кубанычтамын, бул жерде мигранттар жана исламчылар кабыл алынбайт!	Мен Сербияда жашаганыма кубанычтамын, бул жерде мигранттар жана исламчылар кабыл алынбайт!
